rating,company_name,job_position,location,salary_estimate
               4.1               ,                 S&P Global                ,                Data Analyst               ,                India               ,                 ₹3L - ₹6L                                   (Glassdoor Est.)                 
               4.2               ,                 Airtel India                ,                Data Analyst               ,                Gurgaon               ,                 ₹5L - ₹9L                                   (Glassdoor Est.)                 
               4.0               ,                 Barclays                ,                Analyst - RFT Data Operations               ,                New Delhi               ,                 ₹8L - ₹8L                                   (Glassdoor Est.)                 
               4.2               ,                 Airtel India                ,                Business Analyst - Messaging               ,                Gurgaon               ,                 ₹40T - ₹45T                                   (Employer Est.)                 
               3.2               ,                 Glamyo Health                ,                Data Analyst               ,                Connaught Place               ,                 ₹7L - ₹11L                                   (Employer Est.)                 
               5.0               ,                 Fincor Management Advisory Services Pvt. Ltd.                ,                Data engineering ESG Analyst               ,                Chandigarh               ,                 ₹10T - ₹30T                                   (Employer Est.)                 
               4.0               ,                 Simply logistics pvt ltd                ,                Data Analyst               ,                New Delhi               ,                 ₹5L - ₹10L                                   (Glassdoor Est.)                 
               4.1               ,                 RxLogix                ,                Data Analyst               ,                Noida               ,                 ₹55T - ₹70T                                   (Employer Est.)                 
               5.0               ,                 Dileep Essentials Pvt. Ltd.                ,                Data Analyst               ,                Jaipur               ,                 ₹5L - ₹8L                                   (Glassdoor Est.)                 
               3.8               ,                 Barclays                ,                Analyst - Impairment Analytics               ,                New Delhi               ,                 ₹3L - ₹6L                                   (Employer Est.)                 
               3.9               ,                 GYPR PVT LTD                ,                Data Analyst               ,                New Delhi               ,                 ₹90T - ₹3L                                   (Employer Est.)                 
               3.0               ,                 Go2                ,                Data Governance Analyst               ,                Remote               ,                 ₹5L - ₹6L                                   (Glassdoor Est.)                 
               3.6               ,                 Deloitte                ,                Data Review Analyst               ,                Bangalore               ,                 ₹60T - ₹80T                                   (Employer Est.)                 
               4.0               ,                 Elegant Auto Retail                ,                Data Analytics Intern               ,                Noida               ,                 ₹11L                                   (Employer Est.)                 
               4.0               ,                 Data Bridge Market Research                ,                Senior Research Analyst               ,                Gurgaon               ,                 ₹3L - ₹9L                                   (Glassdoor Est.)                 
               4.2               ,                 ArchsystemInc                ,                Pricing Analyst               ,                New Delhi               ,                 ₹3L - ₹4L                                   (Glassdoor Est.)                 
               3.7               ,                 Infosys Limited                ,                Technology Architect (Data & Analytics Unit)               ,                Bangalore               ,                 ₹8L - ₹10L                                   (Employer Est.)                 
               3.9               ,                 Fuel Intelligence                ,                Data Analytics               ,                Mumbai               ,                 ₹5L - ₹7L                                   (Employer Est.)                 
,                 91Squarefeet                ,                Product Analyst               ,                India               ,                 ₹40T - ₹45T                                   (Employer Est.)                 
,                 OPK eServices                ,                Data Analyst Intern               ,                India               ,                 ₹4L - ₹10L                                   (Employer Est.)                 
,                 Market Ninety Nine Pvt. Ltd                ,                Business Analyst               ,                New Delhi               ,                 ₹50T - ₹60T                                   (Employer Est.)                 
,                 Raazi Clinical Laboratory                ,                Data Analyst (Remote)               ,                Hyderābād               ,                 ₹4L - ₹6L                                   (Glassdoor Est.)                 
,                 Innobuzz Learning Solutions                ,                Business Analyst - Tableau               ,                Gurgaon               ,                 ₹18T - ₹22T                                   (Employer Est.)                 
,                 NatWest Group                ,"                Data Modelling Business Analyst, AVP               ",                India               ,                 ₹4L - ₹7L                                   (Glassdoor Est.)                 
,"                 Interactive Education Concepts, Inc                ",                SENIOR DATA ANALYST               ,                New Delhi               ,                 ₹8L - ₹10L                                   (Employer Est.)                 
,                 Airtel India                ,                Analyst               ,                Gurgaon               ,
,                 Indigifts Pvt. Ltd.                ,                Data Analyst               ,                Jaipur               ,
,                 BNY Mellon                ,"                Analyst, Data Management & Quantitative Analysis               ",                Maharashtra               ,
,                 SSPL                ,                Data Analyst               ,                New Delhi               ,
,                 Traya Health                ,                Consumer Insights & Data Analytics               ,                Mumbai               ,
               4.1               ,                 S&P Global                ,                Data Analyst               ,                India               ,                 ₹3L - ₹6L                                   (Glassdoor Est.)                 
               4.2               ,                 Airtel India                ,                Data Analyst               ,                Gurgaon               ,                 ₹5L - ₹9L                                   (Glassdoor Est.)                 
               4.0               ,                 Barclays                ,                Analyst - RFT Data Operations               ,                New Delhi               ,                 ₹8L - ₹8L                                   (Glassdoor Est.)                 
               4.2               ,                 Airtel India                ,                Business Analyst - Messaging               ,                Gurgaon               ,                 ₹40T - ₹45T                                   (Employer Est.)                 
               3.2               ,                 Glamyo Health                ,                Data Analyst               ,                Connaught Place               ,                 ₹7L - ₹11L                                   (Employer Est.)                 
               5.0               ,                 Fincor Management Advisory Services Pvt. Ltd.                ,                Data engineering ESG Analyst               ,                Chandigarh               ,                 ₹10T - ₹30T                                   (Employer Est.)                 
               4.0               ,                 Simply logistics pvt ltd                ,                Data Analyst               ,                New Delhi               ,                 ₹5L - ₹10L                                   (Glassdoor Est.)                 
               4.1               ,                 RxLogix                ,                Data Analyst               ,                Noida               ,                 ₹55T - ₹70T                                   (Employer Est.)                 
               5.0               ,                 Dileep Essentials Pvt. Ltd.                ,                Data Analyst               ,                Jaipur               ,                 ₹5L - ₹8L                                   (Glassdoor Est.)                 
               3.8               ,                 Barclays                ,                Analyst - Impairment Analytics               ,                New Delhi               ,                 ₹3L - ₹6L                                   (Employer Est.)                 
